ID_Venda,Data_Venda,Cliente,Sexo,Idade,Produto,Categoria,Tamanho,Cor,Quantidade,Preço_Unitário,Forma_Pagamento,Estado,Cidade,Vendedor,Canal_Venda,Desconto (%),Avaliação (1-5)
1,2025-06-21,Antônio Freitas,F,55,Bermuda Cargo,Calça,M,Verde,1,105.7,Pix,SP,Santos,Lucas Pires,Loja Física,20,3
2,2025-12-21,Daniel Cavalcanti,M,55,Vestido Floral,Vestido,G,Amarelo,1,190.21,Dinheiro,RS,Caxias do Sul,Lucas Pires,Loja Física,5,5
3,2025-11-12,Dra. Ana Laura Pereira,M,24,Saia Plissada,Saia,M,Branco,1,289.2,Dinheiro,MG,Belo Horizonte,Marcos Silva,Online,0,5
4,2025-12-01,Bryan da Rosa,M,54,Blazer Feminino,Casaco,G,Preto,2,69.6,Cartão Débito,MG,Contagem,Lucas Pires,Loja Física,20,5
5,2025-11-18,Maria Araújo,F,41,Calça Jeans Skinny,Calça,36,Rosa,1,144.93,Dinheiro,BA,Vitória da Conquista,Fernanda Lima,Online,10,5
6,2025-01-09,Theo Viana,M,58,Bermuda Cargo,Calça,GG,Branco,3,232.18,Pix,RJ,Niterói,Fernanda Lima,Online,15,5
7,2025-05-05,Levi Freitas,M,31,Camiseta Básica,Blusa,M,Azul,2,150.19,Pix,SP,São Paulo,Juliana Reis,Online,20,3
8,2025-05-04,Vitor Hugo da Cruz,M,41,Jaqueta Jeans,Casaco,P,Bege,3,115.59,Cartão Débito,RS,Caxias do Sul,Fernanda Lima,Online,20,3
9,2025-05-26,Heloísa Freitas,M,42,Camiseta Básica,Blusa,P,Branco,3,89.9,Pix,BA,Vitória da Conquista,Juliana Reis,Online,0,5
10,2025-02-02,Vitor Hugo Mendes,M,28,Camiseta Básica,Blusa,P,Bege,2,242.05,Pix,MG,Belo Horizonte,Lucas Pires,Online,10,5
11,2025-07-14,João Miguel Castro,F,41,Jaqueta Jeans,Casaco,G,Preto,3,124.51,Cartão Débito,RS,Pelotas,Renata Souza,Loja Física,5,5
12,2025-05-31,Dr. Augusto Ramos,F,54,Blazer Feminino,Casaco,P,Preto,2,269.58,Cartão Crédito,MG,Belo Horizonte,Lucas Pires,Online,0,5
13,2025-11-24,João Miguel Cardoso,M,31,Short Jeans,Calça,36,Branco,3,168.72,Pix,RS,Porto Alegre,Fernanda Lima,Online,10,4
14,2025-10-26,Pedro Lucas Moreira,F,55,Saia Plissada,Saia,M,Bege,2,80.15,Pix,RJ,Rio de Janeiro,Fernanda Lima,Loja Física,10,3
15,2025-12-10,Thales Campos,M,60,Camiseta Básica,Blusa,M,Preto,1,264.81,Pix,SP,Santos,Fernanda Lima,Loja Física,5,5
16,2025-10-31,Daniela Gonçalves,F,60,Macacão Longo,Macacão,G,Jeans,1,246.05,Pix,BA,Salvador,Marcos Silva,Online,0,4
17,2025-12-28,Caio Nascimento,F,52,Camiseta Básica,Blusa,P,Azul,2,231.95,Pix,SP,São Paulo,Fernanda Lima,Online,5,4
18,2025-05-16,Maysa Moreira,F,23,Blazer Feminino,Casaco,P,Preto,2,251.91,Cartão Débito,RS,Porto Alegre,Fernanda Lima,Online,0,4
19,2025-08-10,Dr. Emanuel Fogaça,M,45,Vestido Floral,Vestido,M,Azul,1,144.64,Pix,BA,Feira de Santana,Juliana Reis,Loja Física,15,4
20,2025-01-05,Melissa Cardoso,M,50,Vestido Floral,Vestido,P,Amarelo,3,185.45,Pix,MG,Belo Horizonte,Fernanda Lima,Loja Física,0,5
21,2025-05-22,Bárbara Teixeira,F,55,Bermuda Cargo,Calça,M,Preto,3,66.89,Pix,RJ,Niterói,Lucas Pires,Loja Física,0,4
22,2025-09-06,Davi Lucca Rezende,F,34,Macacão Longo,Macacão,G,Bege,2,283.58,Pix,RJ,Petrópolis,Fernanda Lima,Online,10,4
23,2025-02-07,Pedro Miguel das Neves,F,50,Bermuda Cargo,Calça,M,Jeans,3,299.51,Dinheiro,SP,São Paulo,Fernanda Lima,Online,20,5
24,2025-11-17,Sr. Enzo Azevedo,F,60,Vestido Floral,Vestido,M,Verde,1,159.45,Pix,RS,Pelotas,Marcos Silva,Loja Física,10,5
25,2025-07-18,Dr. Gabriel Campos,F,39,Jaqueta Jeans,Casaco,M,Preto,1,235.5,Cartão Débito,RJ,Niterói,Marcos Silva,Online,10,4
26,2025-05-14,Raquel Lopes,F,46,Camiseta Básica,Blusa,P,Vermelho,2,60.92,Pix,MG,Belo Horizonte,Juliana Reis,Loja Física,10,3
27,2025-08-19,Luna Novaes,F,37,Jaqueta Jeans,Casaco,G,Azul,2,195.53,Dinheiro,RJ,Niterói,Lucas Pires,Online,5,4
28,2025-06-12,Laís da Conceição,F,28,Vestido Floral,Vestido,G,Preto,2,244.93,Cartão Débito,BA,Vitória da Conquista,Juliana Reis,Loja Física,5,4
29,2025-12-25,Felipe Teixeira,M,32,Saia Plissada,Saia,M,Rosa,2,89.7,Cartão Débito,SP,Campinas,Juliana Reis,Online,0,4
30,2025-09-24,Dra. Lara Nunes,M,40,Vestido Floral,Vestido,P,Azul,3,98.18,Pix,MG,Uberlândia,Juliana Reis,Online,0,5
31,2025-03-30,Daniel Silva,M,40,Bermuda Cargo,Calça,G,Branco,3,290.53,Dinheiro,MG,Belo Horizonte,Juliana Reis,Loja Física,0,4
32,2025-12-05,Vitor Gabriel Barros,F,41,Macacão Longo,Macacão,P,Verde,1,227.1,Pix,SP,Santos,Lucas Pires,Online,20,5
33,2025-04-14,Davi Lucas da Cruz,M,53,Bermuda Cargo,Calça,GG,Verde,3,127.22,Cartão Débito,BA,Feira de Santana,Fernanda Lima,Online,15,5
34,2025-01-09,Lara Campos,M,31,Camisa Social,Blusa,M,Amarelo,3,125.14,Pix,RS,Porto Alegre,Renata Souza,Online,10,4
35,2025-04-12,Maria Vitória Rezende,M,50,Blazer Feminino,Casaco,G,Rosa,3,168.2,Pix,RJ,Petrópolis,Marcos Silva,Loja Física,0,5
36,2025-05-08,Marcos Vinicius Alves,F,48,Vestido Floral,Vestido,G,Verde,1,251.54,Pix,RJ,Rio de Janeiro,Lucas Pires,Online,0,4
37,2025-12-19,Srta. Nina Teixeira,F,45,Macacão Longo,Macacão,P,Vermelho,2,149.81,Cartão Débito,RJ,Petrópolis,Fernanda Lima,Online,0,3
38,2025-12-08,Vitor Mendes,M,46,Vestido Floral,Vestido,P,Jeans,1,250.25,Pix,RS,Pelotas,Renata Souza,Online,20,5
39,2025-06-04,Leandro da Cruz,M,51,Short Jeans,Calça,38,Branco,3,265.27,Pix,BA,Feira de Santana,Fernanda Lima,Online,5,4
40,2025-12-07,Thiago Ferreira,F,32,Calça Jeans Skinny,Calça,38,Verde,2,129.83,Pix,RS,Porto Alegre,Fernanda Lima,Loja Física,5,3
41,2025-08-28,Luiz Fernando Cavalcanti,F,54,Camisa Social,Blusa,G,Bege,2,153.84,Pix,RJ,Niterói,Juliana Reis,Loja Física,15,5
42,2025-06-19,Fernanda Santos,M,32,Calça Jeans Skinny,Calça,42,Vermelho,3,236.78,Dinheiro,RS,Pelotas,Juliana Reis,Online,5,3
43,2025-05-31,Davi Lucas Moura,F,43,Saia Plissada,Saia,G,Vermelho,3,91.16,Pix,BA,Salvador,Renata Souza,Loja Física,20,3
44,2025-10-07,Marcelo Souza,M,38,Camisa Social,Blusa,M,Jeans,1,62.47,Dinheiro,BA,Feira de Santana,Juliana Reis,Online,5,5
45,2025-11-25,Noah Martins,F,59,Camisa Social,Blusa,G,Preto,2,54.75,Cartão Crédito,RS,Porto Alegre,Lucas Pires,Loja Física,10,5
46,2025-10-21,Carlos Eduardo Moreira,F,47,Vestido Floral,Vestido,P,Amarelo,1,109.54,Dinheiro,BA,Vitória da Conquista,Marcos Silva,Loja Física,0,5
47,2025-02-08,Erick Caldeira,M,30,Bermuda Cargo,Calça,M,Verde,1,194.57,Cartão Crédito,MG,Contagem,Renata Souza,Loja Física,15,3
48,2025-10-04,Ana Júlia Cardoso,F,50,Calça Jeans Skinny,Calça,36,Amarelo,1,136.7,Dinheiro,BA,Vitória da Conquista,Lucas Pires,Online,10,5
49,2025-07-12,Ana Clara Teixeira,M,29,Bermuda Cargo,Calça,G,Cinza,3,272.79,Pix,BA,Vitória da Conquista,Marcos Silva,Online,5,4
50,2025-06-25,Cauê Ribeiro,F,47,Macacão Longo,Macacão,M,Cinza,1,257.58,Pix,SP,Campinas,Renata Souza,Online,15,4
51,2025-02-11,Francisco Souza,M,53,Blazer Feminino,Casaco,M,Branco,2,102.93,Cartão Crédito,MG,Uberlândia,Renata Souza,Loja Física,10,3
52,2025-09-09,Lara da Rosa,F,36,Camisa Social,Blusa,GG,Bege,1,222.55,Cartão Débito,BA,Feira de Santana,Juliana Reis,Loja Física,0,4
53,2025-06-27,Dra. Catarina Lima,M,40,Macacão Longo,Macacão,M,Jeans,3,182.63,Pix,BA,Vitória da Conquista,Marcos Silva,Online,20,4
54,2025-11-09,Milena Moura,F,31,Bermuda Cargo,Calça,GG,Rosa,2,79.79,Pix,RS,Pelotas,Marcos Silva,Online,5,5
55,2025-10-05,Lavínia Costa,F,35,Vestido Floral,Vestido,M,Rosa,2,94.76,Cartão Crédito,SP,Santos,Lucas Pires,Online,20,5
56,2025-12-09,Bernardo Mendes,M,46,Jaqueta Jeans,Casaco,G,Jeans,1,268.08,Dinheiro,RS,Caxias do Sul,Fernanda Lima,Loja Física,15,4
57,2025-12-12,Maria Clara Dias,F,27,Blazer Feminino,Casaco,P,Preto,2,172.84,Pix,RS,Pelotas,Marcos Silva,Loja Física,0,5
58,2025-10-31,Alexandre Cardoso,M,46,Bermuda Cargo,Calça,GG,Vermelho,3,198.93,Pix,RS,Porto Alegre,Marcos Silva,Online,20,4
59,2025-02-10,Ana Carolina Dias,M,60,Macacão Longo,Macacão,P,Amarelo,3,74.71,Cartão Crédito,RJ,Petrópolis,Fernanda Lima,Loja Física,5,4
60,2025-02-14,Isaac Cardoso,F,32,Bermuda Cargo,Calça,M,Azul,2,162.53,Dinheiro,RS,Caxias do Sul,Marcos Silva,Online,10,3
61,2025-02-16,Guilherme Rodrigues,F,59,Vestido Floral,Vestido,M,Amarelo,3,250.88,Cartão Débito,RJ,Niterói,Marcos Silva,Loja Física,0,3
62,2025-01-01,Ana Ribeiro,M,37,Jaqueta Jeans,Casaco,M,Amarelo,3,255.96,Pix,MG,Uberlândia,Marcos Silva,Online,0,4
63,2025-09-21,Júlia da Mota,F,54,Macacão Longo,Macacão,P,Vermelho,3,130.48,Pix,MG,Belo Horizonte,Lucas Pires,Online,0,5
64,2025-03-05,Rafael Pinto,M,58,Jaqueta Jeans,Casaco,M,Bege,3,160.46,Pix,MG,Belo Horizonte,Lucas Pires,Online,20,4
65,2025-01-22,Júlia Rezende,F,47,Saia Plissada,Saia,M,Preto,1,132.35,Cartão Crédito,BA,Feira de Santana,Marcos Silva,Online,15,4
66,2025-12-11,Srta. Nicole Castro,M,58,Camisa Social,Blusa,P,Bege,2,153.21,Pix,RJ,Petrópolis,Lucas Pires,Loja Física,10,4
67,2025-11-03,Sabrina Mendes,F,28,Jaqueta Jeans,Casaco,M,Jeans,3,171.08,Dinheiro,SP,Santos,Renata Souza,Loja Física,20,5
68,2025-05-09,Felipe da Mota,M,44,Bermuda Cargo,Calça,M,Preto,2,286.67,Pix,RJ,Niterói,Juliana Reis,Loja Física,10,4
69,2025-11-06,Lavínia Cunha,M,39,Jaqueta Jeans,Casaco,M,Rosa,3,176.96,Pix,RJ,Rio de Janeiro,Marcos Silva,Loja Física,10,4
70,2025-09-14,Guilherme Rezende,M,47,Calça Jeans Skinny,Calça,42,Branco,2,184.55,Dinheiro,MG,Uberlândia,Fernanda Lima,Loja Física,20,5
71,2025-01-13,Leonardo Vieira,M,20,Vestido Floral,Vestido,M,Azul,2,236.08,Cartão Débito,BA,Feira de Santana,Renata Souza,Online,5,5
72,2025-07-18,Pietro Viana,F,48,Blazer Feminino,Casaco,P,Bege,2,53.74,Dinheiro,RJ,Niterói,Marcos Silva,Online,5,5
73,2025-11-10,Bryan Duarte,F,33,Saia Plissada,Saia,G,Bege,2,288.43,Dinheiro,BA,Vitória da Conquista,Fernanda Lima,Loja Física,0,4
74,2025-05-03,Luiza Rocha,M,21,Bermuda Cargo,Calça,GG,Preto,2,91.49,Dinheiro,MG,Belo Horizonte,Marcos Silva,Online,0,4
75,2025-11-19,Ana Carolina da Cunha,F,57,Vestido Floral,Vestido,G,Vermelho,3,220.35,Pix,RJ,Rio de Janeiro,Renata Souza,Loja Física,5,4
76,2025-03-15,João Pedro Ferreira,M,36,Macacão Longo,Macacão,P,Rosa,2,209.38,Pix,BA,Feira de Santana,Fernanda Lima,Loja Física,0,4
77,2025-07-25,Esther Pereira,F,42,Saia Plissada,Saia,G,Verde,3,290.41,Pix,MG,Uberlândia,Lucas Pires,Loja Física,10,4
78,2025-02-23,Dra. Mirella Rodrigues,F,56,Saia Plissada,Saia,G,Verde,3,123.71,Pix,BA,Feira de Santana,Marcos Silva,Loja Física,0,5
79,2025-08-25,Gustavo da Rosa,F,37,Saia Plissada,Saia,P,Rosa,3,112.56,Pix,RJ,Petrópolis,Lucas Pires,Online,0,5
80,2025-06-10,Sarah Viana,M,51,Bermuda Cargo,Calça,G,Cinza,3,153.78,Pix,RJ,Rio de Janeiro,Marcos Silva,Loja Física,20,4
81,2025-04-05,Sra. Ana Carolina Barros,M,53,Blazer Feminino,Casaco,M,Cinza,1,166.98,Dinheiro,SP,São Paulo,Lucas Pires,Online,5,3
82,2025-07-12,Lívia Souza,M,24,Short Jeans,Calça,36,Jeans,2,218.11,Cartão Débito,MG,Contagem,Juliana Reis,Loja Física,15,5
83,2025-09-25,Luiz Gustavo Cardoso,M,25,Short Jeans,Calça,38,Amarelo,1,211.81,Cartão Débito,BA,Vitória da Conquista,Lucas Pires,Loja Física,10,4
84,2025-11-27,Bernardo Campos,M,60,Blazer Feminino,Casaco,P,Preto,1,271.71,Pix,RJ,Niterói,Juliana Reis,Loja Física,15,5
85,2025-11-25,João Costa,F,46,Bermuda Cargo,Calça,G,Amarelo,2,284.66,Pix,MG,Belo Horizonte,Fernanda Lima,Online,10,3
86,2025-07-07,Elisa Barbosa,F,60,Saia Plissada,Saia,G,Cinza,1,149.43,Cartão Débito,RJ,Rio de Janeiro,Renata Souza,Loja Física,15,3
87,2025-08-18,Kaique Silveira,F,32,Saia Plissada,Saia,P,Branco,3,101.2,Dinheiro,RS,Porto Alegre,Fernanda Lima,Loja Física,20,4
88,2025-01-19,Emanuel Lopes,F,18,Jaqueta Jeans,Casaco,P,Bege,2,249.53,Dinheiro,SP,Santos,Fernanda Lima,Online,0,3
89,2025-11-01,João Vitor Costela,M,46,Calça Jeans Skinny,Calça,36,Branco,3,155.14,Dinheiro,SP,Santos,Renata Souza,Loja Física,0,4
90,2025-03-09,Fernanda Ramos,F,21,Vestido Floral,Vestido,G,Azul,3,245.71,Pix,RS,Caxias do Sul,Juliana Reis,Online,15,5
91,2025-08-12,André Ramos,F,26,Blazer Feminino,Casaco,G,Jeans,1,274.72,Dinheiro,MG,Contagem,Renata Souza,Online,5,4
92,2025-02-08,Ana Luiza Cardoso,F,45,Macacão Longo,Macacão,G,Verde,2,176.29,Pix,BA,Salvador,Fernanda Lima,Online,0,4
93,2025-03-11,Luiz Fernando Ferreira,M,27,Blazer Feminino,Casaco,M,Vermelho,3,73.67,Pix,BA,Feira de Santana,Lucas Pires,Loja Física,10,5
94,2025-06-05,Sr. Felipe Moura,M,60,Bermuda Cargo,Calça,G,Preto,3,234.6,Cartão Crédito,RJ,Petrópolis,Juliana Reis,Online,0,5
95,2025-02-07,Leonardo Viana,F,27,Camisa Social,Blusa,P,Verde,3,128.01,Pix,SP,Santos,Fernanda Lima,Loja Física,20,4
96,2025-05-29,Paulo Souza,F,56,Short Jeans,Calça,38,Preto,2,193.43,Dinheiro,BA,Vitória da Conquista,Lucas Pires,Loja Física,20,4
97,2025-09-23,Maria Clara Jesus,F,27,Calça Jeans Skinny,Calça,40,Cinza,1,95.25,Cartão Crédito,RJ,Petrópolis,Lucas Pires,Loja Física,15,4
98,2025-04-19,Daniel Ferreira,F,21,Blazer Feminino,Casaco,M,Branco,2,127.81,Cartão Débito,MG,Contagem,Fernanda Lima,Loja Física,20,5
99,2025-02-16,Vinicius Vieira,F,40,Calça Jeans Skinny,Calça,42,Vermelho,2,201.67,Pix,BA,Feira de Santana,Lucas Pires,Online,5,5
100,2025-03-24,Gustavo Henrique da Rocha,F,18,Macacão Longo,Macacão,M,Bege,3,127.0,Cartão Débito,RJ,Niterói,Marcos Silva,Loja Física,20,5
101,2025-05-01,Sr. Rodrigo Ferreira,M,52,Calça Jeans Skinny,Calça,40,Cinza,1,51.83,Cartão Débito,BA,Salvador,Renata Souza,Online,5,3
102,2025-05-26,Eloah Barros,M,58,Camiseta Básica,Blusa,GG,Azul,2,280.19,Pix,MG,Contagem,Marcos Silva,Loja Física,15,4
103,2025-11-23,Lara Freitas,F,33,Saia Plissada,Saia,P,Amarelo,2,257.91,Pix,MG,Belo Horizonte,Renata Souza,Online,15,5
104,2025-06-02,Isaac Costela,F,51,Camisa Social,Blusa,G,Cinza,1,133.17,Pix,RJ,Rio de Janeiro,Fernanda Lima,Online,20,4
105,2025-05-19,Davi Lucca Pires,F,29,Jaqueta Jeans,Casaco,P,Preto,1,113.89,Pix,RJ,Petrópolis,Juliana Reis,Online,5,5
106,2025-03-20,Sra. Maria Eduarda Alves,F,48,Macacão Longo,Macacão,G,Amarelo,2,265.96,Pix,MG,Belo Horizonte,Marcos Silva,Online,15,5
107,2025-09-05,Ryan da Costa,M,22,Saia Plissada,Saia,G,Preto,2,165.34,Cartão Crédito,SP,São Paulo,Renata Souza,Online,10,4
108,2025-12-11,João Lucas Vieira,M,56,Short Jeans,Calça,40,Azul,2,277.16,Pix,RS,Pelotas,Renata Souza,Loja Física,5,5
109,2025-10-25,Ana Barbosa,M,46,Blazer Feminino,Casaco,P,Cinza,3,70.98,Pix,RJ,Rio de Janeiro,Renata Souza,Loja Física,5,4
